Gene,C,Z,Pval,FDR,Module
CCDC115,0.04829043878715896,3.6849544622279353,0.0001143717670705921,0.00013542974512634683,
CYB5R1,0.04953506727779101,3.684457105974115,0.00011459530812716976,0.00013568368084510693,
FP671120.5,0.0599390388985077,3.683058658306318,0.0001152260519503441,0.0001364196761947007,
RAD18,0.051404336538859154,3.682927106452001,0.00011528555333431582,0.0001364792969007322,
GBP1,0.043688544216561,3.6828728196775327,0.00011531011584467781,0.00013649754950146754,
AC025580.2,0.04099522201308476,3.682326552717893,0.0001155575524652936,0.00013677960396871284,
MYO5A,0.04065191799744538,3.679866176937775,0.00011667819115584493,0.00013809509668437182,
STX16,0.03140150780334722,3.6798161837109924,0.00011670106716492064,0.0001381112209284683,
DPYD-AS1,0.06479684367654172,3.6783673627312483,0.000117365853103205,0.0001388869580839972,
OXLD1,0.05134233520655005,3.6780512180945037,0.00011751138638859268,0.00013904815415160705,
CES4A,0.049511664909815685,3.6778763093163014,0.00011759197623034997,0.00013913248487558926,
LACTB,0.04772173238560163,3.6766970229871587,0.00011813669170177669,0.00013976590291134349,
THAP11,0.029120308058193992,3.6762256244767206,0.00011835509356167393,0.00014001319397647063,
AC113398.1,0.04835792061795204,3.676049590461374,0.00011843674832473271,0.00014009868787093153,
PARP2,0.03689583892287702,3.675986170960335,0.00011846617890914413,0.0001401223971930899,
BMS1,0.04359187852635596,3.6758271014188177,0.00011854002724204651,0.0001401986361335891,
IGHV3OR16-11,0.0823724670906852,3.6748176860940647,0.00011900965786805567,0.00014074292211982786,
RPL37P2,0.03835165194790785,3.6727078800015023,0.0001199968887089531,0.00014189919652685915,
CTSA,0.054304494277293024,3.6722652268914544,0.00012020498991337928,0.0001421340212640219,
MCM5,0.04153251164731304,3.6713400315913796,0.00012064103897660714,0.00014263831990525265,
ZNF212,0.05294638082617295,3.670655160307744,0.00012096477752103444,0.00014300976034028838,
ABHD10,0.045497438125561875,3.669371474416491,0.00012157377221102097,0.00014371075483333062,
FAAP24,0.05748339271456091,3.66936475250413,0.0001215769687167749,0.00014371075483333062,
ARL8A,0.04454544450007313,3.6682515081831433,0.00012210744469914363,0.00014432637794157234,
POLQ,0.06478366432890684,3.668006369806467,0.000122224547791055,0.00014445335113832762,
ATG4A,0.047119865052592226,3.665451893243252,0.00012345111110186158,0.00014589143657806096,
