Gene,C,Z,Pval,FDR,Module
NET1,0.07029370996818293,1.717256506094703,0.04296615758945443,0.0572341952125035,
EPG5,0.018070855466984993,1.7168813849425404,0.04300042338501389,0.05726904049617989,
INO80,0.03231676848013174,1.7160729528874428,0.04307434543957667,0.05735667788598861,
RELB,0.021928322216514883,1.7158970304121854,0.043090445171804256,0.05736730205307675,
PEAK1,0.03220228405951903,1.71509962318921,0.04316348170397816,0.05745370920612431,
MEMO1,0.03905398661912802,1.7148674773758095,0.04318476330425361,0.057471207230830344,
ANKRD36BP2,0.05787473655559728,1.7136798029776341,0.04329377409890085,0.05760542856180743,
PLB1,0.04260780520330802,1.7134345248592597,0.0433163146315225,0.05762456620660546,
SFMBT1,0.07236828380180257,1.7117108892483603,0.04347498043636597,0.057824752740065745,
SLC4A1AP,0.030477983252146172,1.7113095131786216,0.04351199556506786,0.05786309048788391,
GEMIN5,0.017565975052970962,1.7111070473873062,0.04353067672491765,0.057877037527727895,
NDUFA5,0.030606721394569523,1.7105728892169922,0.04357999362313391,0.057923346005717795,
AP005263.1,0.02605438963221922,1.7105136929554576,0.0435854617749442,0.057923346005717795,
SNIP1,0.04516037849248058,1.7104634231102107,0.0435901057993199,0.057923346005717795,
GNB2,0.037327218844699306,1.7097529528311364,0.04365578311637995,0.057989725800336296,
CTBP1,0.028819537005334076,1.7096748457530415,0.04366300836279946,0.057989725800336296,
TM2D1,0.03760755413426059,1.7095834701150232,0.04367146223376664,0.057989725800336296,
TAB1,0.0225115283522209,1.7095679683456895,0.04367289655404716,0.057989725800336296,
QSOX2,0.09249628304586394,1.709432301426642,0.04368545092477051,0.05799549433049782,
TXNL1,0.03873122857939371,1.7092561281785184,0.04370175802356955,0.058000445969596914,
MS4A4A,0.0524785790816712,1.7092146055291333,0.043705602193681255,0.058000445969596914,
ZNF185,0.02166143502522693,1.70890361897306,0.04373440202796637,0.05802776407316951,
AC124319.3,0.07253362677670411,1.708361741922685,0.04378462074484078,0.05807882023949218,
PTDSS2,0.10271804470499055,1.7083109997759183,0.04378932567886967,0.05807882023949218,
RNASEH2B,0.0659751871042625,1.707820123401436,0.043834861979215066,0.058128302050154915,
ATP6V1A,0.02146258385003338,1.7074968270595459,0.04386487352331229,0.058149785749984736,
SRGAP3,0.10765834851849097,1.707427193563915,0.04387133975764559,0.058149785749984736,
SELPLG,0.03467390862475454,1.7073796138280048,0.043875758500483954,0.058149785749984736,
CAPN1,0.06444925656909743,1.7068535527400701,0.043924637865160265,0.05820364694794449,
OOEP,0.04470683143605467,1.7066338310233915,0.04394506647327904,0.05821979549273127,
PIGX,0.0338342633015929,1.7052057582144389,0.044078028235466596,0.058384997460216775,
ARID2,0.02751521356721409,1.705021707005448,0.04409518802926435,0.05839677694764217,
TRA2B,0.04572552663375764,1.7042682836648588,0.04416548871174807,0.058478915137729785,
PARGP1,0.026167096950901015,1.7041626445398887,0.04417535294189801,0.05848101446431177,
AL359710.1,0.041678065147049734,1.703826610194093,0.044206742522348956,0.058511603743277685,
SNRPD1,0.058445829285492835,1.7021899836349395,0.04435987990975994,0.058703295556864786,
BASP1,0.02471793221549839,1.7020708507409232,0.044371043717742226,0.0587070711410622,
S100A10,0.03999901332332392,1.7001137792901737,0.04455476295613758,0.05893910964834379,
SRBD1,0.040448344530779716,1.6999266976108884,0.044572357210166225,0.058951344567050035,
UBE2K,0.02691167673045478,1.6984828252949964,0.04470833575459118,0.059120120511125446,
MAPK1,0.05873732322541182,1.6980095682811525,0.04475297797345167,0.05916807718593723,
SCAP,0.028928081874460772,1.6978920344077453,0.04476407047764542,0.05917166801161813,
UQCRH,0.056670317600406125,1.696532626589121,0.04489252837718611,0.05933036865415204,
SIDT2,0.05212468598713421,1.6962367469524768,0.04492052695480493,0.05935626681794651,
AC242426.2,0.053208831230727054,1.6946623347249485,0.04506974735073552,0.05954230321406316,
NSUN3,0.029962941078795872,1.6944548733372307,0.045089439937882406,0.059557180950112434,
STAM,0.04662417552830809,1.6940056861425914,0.04513210127591315,0.059602386130688065,
HDAC1,0.05089240453369271,1.6925531166460908,0.04527028075304173,0.05977369406345547,
CHMP7,0.08576468831057134,1.691969410652657,0.04532590308759475,0.05983372467058608,
PAXIP1,0.08386530604783674,1.6918982687662327,0.0453326860754497,0.05983372467058608,
ETNK1,0.07774527504507424,1.69157034141833,0.04536396270250587,0.05986382076041499,
RPS27AP16,0.04850836818323817,1.6910531420476054,0.0454133267420109,0.05991776991138681,
RHOH,0.16630089110589263,1.6908880036622793,0.04542909745404465,0.05992738457803388,
ATP1B3,0.026198389093827323,1.6907050722882884,0.0454465725377824,0.05993924354124251,
SNX4,0.045038217274806704,1.6904384776650425,0.04547204949101753,0.059961649730175065,
AC005050.3,0.02925450454422973,1.690278107639183,0.045487380686863976,0.05997067136468965,
XPO7,0.05236148180828035,1.6901152764144514,0.04550295142314647,0.059980005384046776,
ZNF169,0.033020581059620156,1.6891961271614393,0.04559092547045503,0.060080822122194615,
THOC1,0.06457100762620054,1.6890218742546506,0.04560761905676265,0.060080822122194615,
GPHN,0.07960605197815243,1.6889975675074431,0.04560994805567267,0.060080822122194615,
AL158152.1,0.024681092605898722,1.68896096462375,0.04561345541355177,0.060080822122194615,
AC058822.1,0.08219233730136925,1.6882840098526757,0.045678361604596276,0.060155098131034326,
SRP72,0.04569559432847019,1.6878724253089354,0.04571786046800848,0.060195893074745925,
